Title,Interest,Type,Start Date,Start time,End Date,End time,Address,Post Code,web,Price Band,Contact,Description,"Booking
essential?",OS grid ref (essential),Grade,"wheelchair
accessable?",Min Age,max age,Child age restrictions,organisation,Full Price Notes (not compulsary),Additional information (about Venue or Event/Title),Short Description,Org ID
Example Event,Nature,Outdoors,24/06/2012,19:30,,,"My Local Park, My Town, Near Dumfries",DG3 4AQ,www.dglink.co.uk,Under £5,"My Name, My phone number, email: hub@dglink.co.uk",Enter the basic description here. Online you can enter other media such as photos and format your text.,Y,NY052657,Easy,Yes,,,,WWT,,,Enter the basic description here. Online you can enter other media such as photos and format your te,9
Wild Swan Feeds,Nature,Outdoors,12/10/2013,11:00,03/11/2013,,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,See wild whooper swans closer than anywhere in the country from our brand new Sir Peter Scott Observatory. At 11am and 2pm every day the wardens will give a live commentary as they go out to feed the birds right in front of the picture windows. Hundreds of swans ducks and geese come so close that you don't even need binoculars to identify them. ,n ,NY052657,Easy,Yes,,,,WWT,£7.50,,See wild whooper swans closer than anywhere in the country from our brand new Sir Peter Scott Observ,9
Wild Swan Feeds,Nature,Outdoors,12/10/2013,14:00,03/11/2013,,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,See wild whooper swans closer than anywhere in the country from our brand new Sir Peter Scott Observatory. At 11am and 2pm every day the wardens will give a live commentary as they go out to feed the birds right in front of the picture windows. Hundreds of swans ducks and geese come so close that you don't even need binoculars to identify them. ,n,NY052657,Easy,Yes,,,,WWT,£7.50,,See wild whooper swans closer than anywhere in the country from our brand new Sir Peter Scott Observ,9
Guide in the hide,Nature,Outdoors,13/10/2013,10:00,13/10/2013,15:00,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the reserve to point out all of the intersting birds and wildlife at WWT caerlaverock. These experts will be equipped with telescopes to give you amazing close views of the birds and answer any questions you may have.",n,NY052657,Easy,Yes,,,,WWT,£7.50,,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the re",9
Guide in the hide,Nature,Outdoors,16/10/2013,10:00,16/10/2013,15:00,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the reserve to point out all of the intersting birds and wildlife at WWT caerlaverock. These experts will be equipped with telescopes to give you amazing close views of the birds and answer any questions you may have.",n,NY052657,Easy,Yes,,,,WWT,£7.50,,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the re",9
Guide in the hide,Nature,Outdoors,20/10/2013,10:00,20/10/2013,15:00,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the reserve to point out all of the intersting birds and wildlife at WWT caerlaverock. These experts will be equipped with telescopes to give you amazing close views of the birds and answer any questions you may have.",n,NY052657,Easy,Yes,,,,WWT,£7.50,,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the re",9
Guide in the hide,Nature,Outdoors,23/10/2013,10:00,23/10/2013,15:00,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the reserve to point out all of the intersting birds and wildlife at WWT caerlaverock. These experts will be equipped with telescopes to give you amazing close views of the birds and answer any questions you may have.",n,NY052657,Easy,Yes,,,,WWT,£7.50,,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the re",9
Guide in the hide,Nature,Outdoors,27/10/2013,10:00,27/10/2013,15:00,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the reserve to point out all of the intersting birds and wildlife at WWT caerlaverock. These experts will be equipped with telescopes to give you amazing close views of the birds and answer any questions you may have.",n,NY052657,Easy,Yes,,,,WWT,£7.50,,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the re",9
Guide in the hide,Nature,Outdoors,30/10/2013,10:00,30/10/2013,15:00,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the reserve to point out all of the intersting birds and wildlife at WWT caerlaverock. These experts will be equipped with telescopes to give you amazing close views of the birds and answer any questions you may have.",n,NY052657,Easy,Yes,,,,WWT,£7.50,,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the re",9
Guide in the hide,Nature,Outdoors,03/11/2013,10:00,03/11/2013,15:00,WWT Caerlaverock Wetland Centre,DG1 4RS,www.wwt.org.uk,£5-£10,01387 770200 info.caerlaverock@wwt.org.uk,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the reserve to point out all of the intersting birds and wildlife at WWT caerlaverock. These experts will be equipped with telescopes to give you amazing close views of the birds and answer any questions you may have.",n,NY052657,Easy,Yes,,,,WWT,£7.50,,"Our Guides in the Hides will be out and about in the hides, towers and observatories all over the re",9
Fungi Foray at Caldons,Nature,Outdoors,11/10/2013,13:30,11/10/2013,16:00,Glentrool visitor centre ,DG8 6SZ,www.wildautumnfestival.com,Free,Pete or Linda 01671 401423,Learn about and identify some of the many fascinating species in this ancient oak wood. Voluntary donations gratefully accepted.,y ,NX371785,Medium,no,,,,CVCWT,FREE,,Learn about and identify some of the many fascinating species in this ancient oak wood. Voluntary do,#N/A
Photographing Phantastic Phlora and Phauna,Nature,Outdoors,15/10/2013,10:30,15/10/2013,11:30,Dumfries Museum, DG2 7SW,www.wildautumnfestival.com,Free,Dumfries Museum 01387 253374,"Bring your camera along to the museum and we'll show you how to take fantastic photos of the wildlife that lives around Dumfries. For ages 5 and up, all children must be accompanied by a responsible adult.",y,NX970757,Family,no,,,,DGC,FREE,,Bring your camera along to the museum and we'll show you how to take fantastic photos of the wildlif,3
Walk in the Wild,Nature,Outdoors,16/10/2013,10:00,16/10/2013,12:00,RSPB Mersehead ,DG2 8AH,www.wildautumnfestival.com,Under £5,Colin Bartholomew 01387 780579; mersehead@rspb.org.uk,Join a member of the team for a guided walk to experience the seasonal highlights on the reserve.,n,NX928566,Medium,no,,,,RSPB,Up to £2,,Join a member of the team for a guided walk to experience the seasonal highlights on the reserve.,8
Kites at Parton Viewpoint,Nature,Outdoors,17/10/2013,10:30,17/10/2013,12:00,Loch Ken Holiday Park ,DG7 3NE,www.wildautumnfestival.com,Free,Calum Murray 01556 670464; calum.murray@rspb.org.uk,A short walk from Boat o'Rhone car park up to the viewpoint above Parton. Join the RSPB to see and learn about the red kites in Galloway and enjoy views over Loch Ken and River Dee.,y,NX685703,Medium,no,,,,RSPB,FREE,,A short walk from Boat o'Rhone car park up to the viewpoint above Parton. Join the RSPB to see and l,8
Photographing Phantastic Phlora and Phauna,Nature,Outdoors,17/10/2013,11:00,17/10/2013,12:00,Annan Museum,DG12 6AA,www.wildautumnfestival.com,Free,Annan Museum 01461 201384,"Bring your camera along to the museum and we'll show you how to take fantastic photos of the wildlife that lives around Annan. For ages 5 and up, all children must be accompanied by a responsible adult.",y,NY193665,Medium,no,,,,DGC,FREE,,Bring your camera along to the museum and we'll show you how to take fantastic photos of the wildlif,3
